iter	Passed	Remaining
913	13209	1242
914	13222	1228
915	13230	1213
916	13244	1198
917	13262	1184
918	13277	1170
919	13289	1155
920	13297	1140
921	13312	1126
922	13318	1111
923	13327	1096
924	13332	1081
925	13344	1066
926	13350	1051
927	13358	1036
928	13376	1022
929	13391	1007
930	13401	993
931	13409	978
932	13418	963
933	13431	949
934	13438	934
935	13446	919
936	13452	904
937	13462	889
938	13472	875
939	13483	860
940	13494	846
941	13505	831
942	13513	816
943	13520	802
944	13534	787
945	13548	773
946	13555	758
947	13568	744
948	13577	729
949	13589	715
950	13595	700
951	13603	685
952	13615	671
953	13630	657
954	13639	642
955	13649	628
956	13663	613
957	13667	599
958	13679	584
959	13693	570
960	13705	556
961	13724	542
962	13736	527
963	13743	513
964	13747	498
965	13764	484
966	13779	470
967	13785	455
968	13797	441
969	13806	426
970	13813	412
971	13822	398
972	13834	383
973	13840	369
974	13847	355
975	13855	340
976	13868	326
977	13883	312
978	13891	297
979	13907	283
980	13924	269
981	13941	255
982	13956	241
983	13981	227
984	14001	213
985	14014	198
986	14021	184
987	14036	170
988	14049	156
989	14058	142
990	14067	127
991	14082	113
992	14088	99
993	14108	85
994	14118	70
995	14129	56
996	14137	42
997	14147	28
998	14158	14
999	14168	0
